commit	val_bpb	memory_gb	status	description
f70cd43	1.314543	6.0	keep	baseline
8d23903	1.306543	6.0	keep	per-group AdamW betas + weight decay on embeddings/lm_head/resid
1c6d0b0	1.303982	6.0	keep	Muon beta2 0.95->0.9 faster curvature adaptation
1685b88	1.305254	6.0	discard	Muon momentum warmup 0.97 over 400 steps (worse - never reaches target in 109 steps)
f556d12	1.325085	6.0	discard	warmdown 0.5->0.65 (much worse - too little time at peak LR with only 109 steps)
43973ae	1.287756	6.0	keep	warmdown 0.5->0.35 + final LR 0.05 (more time at peak LR = huge win)
f576e18	1.270418	6.0	keep	QK-norm post-scale q,k *= 1.15 to sharpen attention (huge win +0.017)
a006a4c	1.269870	6.0	discard	VE gate channels 32->12 (noise-level improvement 0.0005)
c0ee629	1.267650	6.0	discard	VE gate scale 2->3 (borderline 0.0028 improvement, not simplification)
3f8859f	1.269958	6.0	discard	VE gate init uniform(0,0.02) instead of zeros (noise-level 0.0005)
1631dc1	1.287746	6.0	discard	embedding init std 1.0->0.8 (much worse)
ab3fe2c	1.287524	6.0	discard	MLP c_fc init 0.5x scale (worse)
21491d8	1.277489	6.0	discard	RoPE theta 10000->100000 (worse)
14cac47	1.312457	7.1	discard	SwiGLU replacing relu^2 (worse + more VRAM + fewer steps)
93ca6e6	1.273153	6.0	discard	QK scale 1.15->1.3 (slightly worse, 1.15 is better)
7fde051	1.273920	6.0	discard	attention pattern SSSL->SSLL (worse, more long-range hurts)
6107200	1.260903	6.0	keep	matrix LR 0.04->0.05 (significant improvement +0.0095)
c7d76ca	1.256155	6.0	keep	matrix LR 0.05->0.06 (+0.0047)
335d23d	1.251817	6.0	keep	matrix LR 0.06->0.08 (+0.0043)
aed39bb	1.249301	6.0	discard	matrix LR 0.08->0.10 (borderline 0.0025, not simplification)
1965602	1.249556	6.0	discard	warmdown 0.35->0.25 (borderline 0.0022, not simplification)
cc88ebe	1.248052	6.0	keep	matrix LR 0.10 + warmdown 0.25 combined (+0.0038)
269b27b	1.252771	6.0	discard	matrix LR 0.10->0.12 (worse, 0.10 is sweet spot)
42c8433	1.205003	6.0	keep	batch 2^19->2^18 (2x steps 108->204, massive improvement +0.043)
2822c6f	1.214051	6.0	discard	batch 2^17 (4x steps 395, worse - too noisy)
697b52b	1.203796	6.0	discard	matrix LR 0.07 with 2^18 batch (borderline 0.0012, not simplification)
9b02e6a	1.216539	6.0	discard	embedding LR 0.6->0.3 (worse, 0.6 is fine)
959babd	1.206872	6.0	discard	Muon weight decay 0.2->0.3 (borderline 0.0019, not simplification)
5681ecb	1.206088	6.0	discard	matrix LR 0.07 + WD 0.3 combined (worse, doesn't stack)
2276591	1.221329	6.0	discard	GELU replacing relu^2 (worse, relu^2 is better)
f561e4a	1.210771	6.0	discard	HEAD_DIM 128->64 (8 heads, worse)
212d68e	1.254407	9.2	discard	depth 8->10 (85.9M params, fewer steps 125, worse)
b42d72e	1.211667	5.5	discard	parallel attn+MLP (worse, sequential is better)
c840b21	1.206408	6.0	discard	warmdown 0.20 (slightly worse than 0.25)
60021e0	1.207750	6.0	discard	VE gate scale 2->3 retest (worse with 2^18 batch)
6e475b1	1.209746	6.0	discard	cosine warmdown (worse than linear)
b0e1312	1.201799	6.0	keep	x0_lambdas init 0.1->0.0 (no highway start, +0.0032)
b7d2713	1.199729	6.0	discard	final LR frac 0.05->0.10 (borderline 0.0021, not simplification)
e3a1193	1.200167	6.0	discard	final LR frac 0.05->0.15 (borderline 0.0016, not simplification)
40e2ee8	1.201632	6.0	discard	Muon beta2 0.9->0.85 (noise-level change 0.0002)
b7c5d4c	1.203232	6.0	discard	QK scale 1.15->1.2 (slightly worse, 1.15 still optimal)
ba441d7	1.201595	6.0	discard	Muon ns_steps 5->6 (noise-level change)
4a8b74a	1.188971	5.5	keep	MLP ratio 4x->3x (46M params, 233 steps, +0.013 huge win)
